'so2_we','no2_we','no2_ae','o3_we','o3_ae','co_we','co_ae','so2_ae','humedad','temperatura'
385.6476135,232.3290863,228.3639221,231.5191803,228.3201904,466.4899292,329.4040222,355.4585876,54.96757507,25.09880066
385.1637268,233.0020142,228.431076,230.6967468,228.0196075,459.8205872,327.2675171,354.4778442,54.99504089,25.05340576
385.8293457,233.0436707,228.4087219,230.9973297,228.2368317,456.7080383,329.3456421,355.1095886,55.09422302,25.01068115
384.957428,232.9842834,228.4404907,230.9884338,228.276413,451.0964661,327.4727478,354.0986633,55.16288757,25.01068115
384.6860657,232.8717957,228.422226,231.3436584,228.2857971,451.6100159,330.2789917,354.9747009,55.22239685,24.9546051
386.0022278,232.3306274,228.1644135,231.3826904,228.1639404,448.6401978,329.9190369,356.1492004,55.28649139,24.91188049
386.6042786,231.8539385,227.8819035,231.5631365,228.072185,444.1037249,331.5967843,357.2492894,55.38523756,24.89547403
384.3752441,232.5727043,228.1282578,231.4392433,228.2667618,437.472229,329.9075089,354.3046341,55.42839813,24.84578323
384.3135071,233.0784378,228.5075188,231.4313164,228.5715904,432.2390366,329.1675415,353.8473053,55.39788055,24.84244537
385.2769104,232.4461823,228.0956543,231.2989624,228.2518188,431.627179,332.1546814,356.4290771,55.39116669,24.85312653
385.1058655,232.708252,228.3582001,231.6613312,228.5425568,425.2773438,330.0176086,353.8507385,55.41008759,24.8130722
386.3459778,232.0853271,228.0289917,232.1832275,228.3852539,424.9497375,331.1930542,356.3763428,55.4161911,24.78369904
385.3913574,232.1572113,228.1258392,231.6879425,228.3561096,422.0960693,332.1774902,355.7507324,55.48332977,24.7703476
383.8548584,232.667099,228.250351,231.3087616,228.4498291,419.0032959,330.3482971,354.5699768,55.4161911,24.72762299
385.7736206,231.6082153,227.7149506,231.9264526,228.3019257,420.2090759,333.568634,357.891449,55.44670868,24.75699615
386.947052,231.239502,227.6024628,231.8957367,228.3727875,419.0741577,334.8926392,357.8945313,55.4665451,24.74364471
384.9228036,231.9392591,227.8883166,232.0060032,228.4967455,413.4165911,332.3423854,356.1750357,55.5245285,24.7085495
385.1768494,231.7626984,227.8618134,231.5167542,228.2913361,411.9452637,333.18255,356.5322205,55.57701874,24.7009201
382.788147,232.2441711,228.0690918,231.359787,228.7332001,409.5874634,331.9285889,354.0820313,55.53978729,24.68756866
385.9012451,231.4467621,227.6352844,231.9082489,228.4259033,409.9390259,333.7108459,357.2133179,55.61760712,24.68756866
384.7214661,232.4488525,227.9712067,231.8238678,228.9024506,405.2077637,331.4368896,354.56427,55.65270233,24.67154694
385.3423767,231.6165771,227.7128754,231.5717621,228.6477814,405.8374939,332.594696,355.6580505,55.66796494,24.7009201
385.4783325,232.7775116,227.9576569,231.6530304,228.6300354,405.4301453,331.9920959,355.0710754,55.75341415,24.6581955
385.6759949,231.9567719,227.5720398,232.2167938,228.5707794,410.2059143,334.1086853,356.3068298,55.82909775,24.66086578
386.0001678,232.1855621,227.7657166,231.3570633,228.7593498,408.5375366,333.3519669,355.903595,55.80987167,24.68222809
384.5614075,232.6201263,227.8707764,231.1500031,228.8515381,406.7483215,331.6839233,354.5917664,55.78332138,24.71961212
384.3220927,232.8306732,227.9400991,230.5594635,228.9455363,404.2509664,331.2557475,353.346405,55.7213707,24.75610606
385.2736206,232.7170868,227.4993134,231.0790558,229.0993652,404.7947998,333.1972656,354.2861328,55.68627548,24.8130722
383.540802,233.1520233,228.0373535,230.5181122,229.1514282,400.4405823,330.5878906,353.0512085,55.68627548,24.8130722
384.6324768,232.9285583,227.9081573,230.8217773,229.1733246,401.3186951,331.7529907,353.3377686,55.64507294,24.85579681
384.8892212,231.5837402,227.1868134,231.3770142,229.1790466,405.9702454,334.9004517,355.8762817,55.5901413,24.86914825
384.2032776,233.0467834,227.87117,231.0556641,229.3858032,404.9573059,331.1748352,353.1157227,55.62065887,24.91188049
384.5142822,232.539505,227.5743103,231.4978027,229.2290497,411.1724243,332.2358093,353.764801,55.58403778,24.89852905
386.5225525,232.4176178,227.5654602,231.0904999,228.9581757,411.6239929,333.8514404,355.660614,55.51537323,24.91188049
385.8397827,232.7853546,227.7462158,230.532196,229.1405029,411.4297485,333.4775085,355.2866516,55.46196747,24.94125366
383.9740906,233.0613708,227.9946442,230.3597717,229.1201935,406.4744263,330.8962097,352.5845337,55.46501923,24.9546051
385.1642151,232.568161,227.7243195,230.9509277,229.1212158,407.1364441,333.5190735,354.5361328,55.40550995,24.94125366
384.3543091,232.7650146,227.7576599,230.6816406,229.3983002,402.958252,331.8493652,353.1048889,55.40703583,24.9546051
385.3668518,232.195755,227.6378479,230.628006,229.0399475,405.0540771,334.2556458,355.2549744,55.35057831,24.9546051
386.0970581,232.051886,227.5032593,230.8930328,229.1150482,405.2025146,333.8222107,356.5723694,55.34416962,24.95994568
385.2973099,232.5380669,227.5421448,231.1763344,229.1428108,404.8052902,333.7415543,355.5878525,55.29793358,24.97463226
384.8993469,232.6070099,227.5631592,230.6205994,229.257373,403.9057556,333.2366089,354.667981,55.22148132,24.9546051
384.3360748,232.4897614,227.513649,230.9431,229.3946533,402.5085144,332.6210022,354.4582672,55.17967224,24.93991852
384.7053731,232.3316701,227.4241689,231.6526591,229.2078349,401.9752299,333.1742045,354.6851196,55.10999044,24.94481405
385.2204895,232.5712585,227.8102112,231.1576996,228.9712219,400.7920532,332.6811523,355.8955078,55.04386902,24.92523193
384.0522156,232.9733734,227.9544983,230.4363556,229.2519379,399.8576355,332.7087402,354.1622314,54.99961853,24.94125366
385.0345459,232.8467865,227.9269409,230.2926025,229.2248688,399.0467224,332.8748474,354.9585571,54.93400574,24.9546051
384.9407349,232.2551422,227.6982574,230.8041077,228.9732971,400.9488525,334.5514526,355.4725647,54.88822937,24.9546051
383.8282776,233.1530457,228.2492828,230.1217804,229.0883942,399.8999634,331.9722595,352.910553,54.83939743,24.9546051
384.5501099,232.9629364,228.2311096,229.7191467,228.8243408,402.005127,331.4488525,354.004425,54.83024216,24.9546051
384.7126465,233.4650421,228.4868317,229.3477783,229.2071228,401.0238647,330.8233032,353.8283081,54.78446579,24.96795654
384.4826457,233.1233622,228.1382294,230.2974599,229.2252197,407.410085,332.1240336,353.5067647,54.75852585,24.97240702
384.7080078,232.9188232,227.9409943,230.6505686,229.207489,409.0656026,332.5410461,354.0053813,54.71173223,24.96350606
385.3340149,232.8108826,227.8742828,230.1899719,229.4701691,408.6958313,333.3253784,355.1695557,54.6822319,24.96795654
386.3991394,232.3436584,227.7362823,230.2858429,229.0233002,409.7374573,334.1030579,357.5195618,54.5738945,24.9546051
384.090271,232.9790802,227.914978,230.0306091,229.0081787,404.7072754,331.8149414,353.9324341,54.54185104,24.9546051
385.3002014,232.8051147,227.7654724,230.4832153,229.1144409,407.7411194,333.3962402,355.6965942,54.47165298,24.9546051
386.0273132,231.9561615,227.4274445,230.6983185,228.961853,412.1078491,335.0592957,357.9616699,54.48080826,24.92523193
385.0231323,232.68013,227.7930603,230.5519714,229.039444,412.7578125,334.9248962,355.9679565,54.51438522,24.94125366
384.3812561,233.102712,227.7519379,230.3067881,229.1354523,412.5078837,333.1150106,354.5737101,54.43808365,24.95905558
386.0878601,232.6853129,227.6345571,229.9502309,228.9920502,414.4541524,334.9900716,356.8296305,54.43503189,24.94125366
384.4438782,233.3973236,228.0373535,229.7024689,229.1977692,409.6520691,332.1577454,354.3512268,54.43655777,24.9546051
386.8059387,232.2754211,227.492569,230.3878937,228.9608002,412.3308105,335.4937134,357.5518494,54.43655777,24.9546051
385.4376526,233.6270447,228.2706909,229.9509125,229.2748566,408.3666992,332.4858093,354.9226074,54.54185104,24.9546051
383.6412659,233.8384705,228.3368073,230.180069,228.9581909,407.700531,332.1405029,353.8277893,54.5738945,24.9546051
384.3678894,233.7702179,228.5310974,229.3915405,228.9732971,406.432251,332.111908,354.7450256,54.58762741,24.96795654
385.6032715,232.6587524,227.7612915,229.2524872,228.7956848,409.0041809,333.906189,356.4851685,54.54185104,24.96795654
386.1914978,233.0410512,227.6746724,229.5029907,228.7401123,409.9886068,334.7523499,356.9337463,54.52811813,24.97240702
384.1397196,233.5764618,227.8621623,229.9526367,228.9338888,409.7625122,332.0238546,354.5826721,54.51896286,24.96350606
385.8762817,232.4941711,227.4862976,229.9139557,228.9254303,415.6902466,336.1655884,357.7013245,54.47623062,24.98130798
384.2913208,234.0415802,228.1086731,230.0280151,229.042038,411.9902039,331.0285339,353.7283325,54.54642868,24.99732971
384.3392029,233.6514435,228.0180817,229.953476,229.0258789,411.1079102,332.1551208,354.5793457,54.51896286,24.96795654
385.2819824,233.421814,227.8748169,230.3738403,229.1186371,413.1568298,331.9420471,355.4429321,54.49607468,24.9546051
384.1637268,233.9317017,228.0102692,229.6613617,229.3092499,412.0276184,332.7129211,353.9825134,54.4945488,24.94125366
385.7121277,233.1155396,227.7998657,229.4436188,228.8748474,412.1390991,333.8259277,355.9497375,54.44571304,24.94125366
384.0204773,233.8671265,228.381134,229.9764099,228.8045654,407.0629578,329.9868469,353.6065063,54.50370407,24.94125366
385.2808228,233.909317,228.1941528,229.2035217,228.8764343,408.9562683,331.5196533,354.9190369,54.49148941,24.92523193
384.57724,234.0577545,228.6581879,228.3279877,228.8055878,406.3270569,330.4436646,353.6658325,54.45792007,24.94125366
385.0037842,233.6358948,228.4670258,228.7957153,228.8540192,406.3578186,330.7977905,353.3934326,54.4487648,24.9546051
386.8972534,232.2969177,227.7425476,229.0601532,228.6113403,410.7991638,334.5073242,357.9864075,54.33096695,24.95193481
384.8566807,232.7892936,228.0106942,229.2859519,228.7905099,407.4235012,331.9806083,355.9303632,54.15448597,24.94888306
386.3215332,232.1759796,227.6420441,229.5383911,229.0034943,407.5749512,333.2857971,357.7700806,54.04135132,24.94125366
384.9038086,232.8592834,227.8013611,230.136322,228.8399353,403.5947571,330.8066101,355.5767822,54.14816666,24.9546051
384.3434143,232.802475,227.9284668,229.4342499,228.9837341,402.396759,331.2712402,355.5158386,53.9055481,24.9546051
383.9866028,231.9733429,227.5966797,229.6082153,228.8748627,400.8696899,332.7732544,356.1674194,53.85366821,24.91188049
382.5277405,232.6577301,228.0414886,229.8644409,229.1951447,396.9118042,331.1190796,353.3584595,53.74533081,24.89852905
386.5892334,231.4780426,227.3409882,230.0977936,228.9519501,400.2821045,334.1966858,359.2372742,53.6934433,24.92523193
383.8080444,232.6249084,227.9837036,229.5925903,228.9082184,396.0170593,330.792572,355.5423889,53.71633911,24.92523193
383.2737854,232.7584656,227.8522308,229.3463257,228.9819489,395.1751831,330.8683838,355.3202148,53.61470795,24.95193481
384.719162,232.232193,227.7719727,229.6680984,228.9194183,394.1453247,331.8498688,356.2911224,53.57289886,24.9332428
383.6820679,232.8455322,227.9092194,229.8069489,229.075174,391.5662964,329.8392151,354.5803406,53.59578705,24.90386963
384.6309509,232.6874237,227.698822,229.7973022,229.0717163,395.2586975,333.185791,356.8018188,53.6354599,24.92523193
382.6594849,233.1879425,228.0066071,229.5379028,228.9571686,391.5862122,330.2701416,353.6517944,53.6934433,24.92523193
384.0084229,233.1666107,227.6706848,229.5701752,228.9269257,394.2018127,332.3384094,355.6476135,53.75753784,24.89852905
385.6845093,232.8790894,227.6352539,230.0415802,228.8743744,396.3252563,333.3389282,356.7685547,53.79415894,24.89852905
385.2230835,233.0535889,227.8784943,229.4232941,228.7441254,394.8804626,332.4561462,355.5423889,53.79110718,24.88249969
384.2200012,233.7785797,228.3353119,228.4805603,228.9040222,392.2992249,330.1716919,354.5975647,53.76211548,24.92523193
384.993866,233.0389709,228.0910034,227.9477386,228.7571716,393.1321411,331.4061279,355.7038879,53.74838257,24.91188049
384.5756836,233.7207947,228.4367981,227.8675385,228.721756,391.95755,330.4888916,354.3626709,53.74380493,24.94125366
385.1819763,232.8973083,228.2243347,227.3816223,228.5092468,395.5128479,332.0379028,355.875824,53.71786499,24.94125366
384.1163635,233.9421234,228.6441193,227.3399506,228.7149506,393.2107239,329.2482605,353.2897339,53.69954681,24.96795654
386.3403809,233.3086639,228.1950653,227.7098572,228.743689,396.7634827,331.7186523,356.0818909,53.79202271,24.98558044
385.7977905,233.2629445,228.0760752,228.0590871,228.6837107,398.3869324,332.768809,356.6291097,53.86333211,24.9768575
386.9830017,232.9051514,227.7284546,228.7628632,228.6190948,400.5311279,333.6353149,357.9706116,53.94522095,24.98130798
386.4408569,233.2931366,227.7175598,228.6254272,228.6847534,400.0311279,333.1061401,357.1070251,53.93606567,24.99732971
386.8132324,233.1967926,227.896225,228.1482849,228.7983093,400.6384583,332.677002,357.7268677,53.92233276,24.98130798
384.3121643,234.018158,228.3988342,227.6888885,228.5165253,398.2545471,331.4785156,354.6700439,53.91470337,25.02403259
386.1636963,233.5822296,228.3274536,227.4092102,228.8483124,397.084198,331.3180237,355.4143066,53.90402222,25.02403259
385.8481934,233.6450592,228.3204926,227.1860901,228.6973358,398.3137268,330.7932922,355.0528503,53.9180603,25.01602173
385.5582581,234.0779076,228.623558,227.2220802,228.7989197,398.0243301,329.8171768,353.494133,53.9810791,25.04138947
386.0455078,233.6124207,228.4925629,226.911795,228.9026703,400.4998047,331.3713257,354.7694336,53.95223999,25.05981445
386.450765,233.9700877,228.6090495,226.9507039,228.8266042,400.4620463,331.016154,354.6245219,53.9055481,25.0890096
386.1766968,234.109848,228.6191101,226.8643646,228.7212219,400.5514526,330.1024475,353.9220581,53.88723755,25.06942749
388.905426,232.7587738,228.1170197,227.4956818,228.7284851,403.3327637,333.6800842,358.2997742,53.91928101,25.12550354
387.5345459,233.4728241,228.4618378,227.1446381,229.1305695,403.9040833,332.6436462,356.473114,53.91775513,25.1121521
386.3897705,233.2541199,228.3779755,226.6638947,228.8378754,403.428009,331.8222656,356.1445313,53.90402222,25.09880066
388.434021,233.5358582,228.2811127,227.4743042,228.8493347,403.8837585,331.9633789,356.7054749,54.1008606,25.09880066
386.0105896,234.1400757,228.7097321,227.657608,228.7998657,403.1385193,331.3118591,354.0975342,54.16189957,25.12550354
385.1513774,234.2202352,228.4359843,229.0703278,228.8505249,402.3221537,330.8368225,354.5932515,54.30024592,25.11660258
